NSE:RTNINDIA-EQ
NSE:ROSSARI-EQ
NSE:IDBI-EQ
NSE:GRINFRA-EQ
NSE:MGL-EQ
NSE:JKCEMENT-EQ
NSE:BAJAJELEC-EQ
NSE:CARBORUNIV-EQ
NSE:KNRCON-EQ
NSE:EQUITASBNK-EQ
NSE:SUNDARMFIN-EQ
NSE:NAM-INDIA-EQ
NSE:BAYERCROP-EQ
NSE:SIS-EQ
NSE:SRTRANSFIN-EQ
NSE:RECLTD-EQ
NSE:TATACHEM-EQ
NSE:SHRIRAMCIT-EQ
NSE:KRBL-EQ
NSE:SHILPAMED-EQ
NSE:VOLTAS-EQ
NSE:TATACOMM-EQ
NSE:NUVOCO-EQ
NSE:JINDALSTEL-EQ
NSE:CESC-EQ
NSE:METROPOLIS-EQ
NSE:UBL-EQ
NSE:AAVAS-EQ
NSE:CAMS-EQ
NSE:HINDPETRO-EQ
NSE:SAPPHIRE-EQ
NSE:ALKEM-EQ
NSE:MANAPPURAM-EQ
NSE:JSWENERGY-EQ
NSE:SYNGENE-EQ
NSE:BSE-EQ
NSE:TORNTPOWER-EQ
NSE:IIFL-EQ
NSE:UTIAMC-EQ
NSE:LODHA-EQ
NSE:OFSS-EQ
NSE:CSBBANK-EQ
NSE:MASTEK-EQ
NSE:KPRMILL-EQ
NSE:ABBOTINDIA-EQ
NSE:FEDERALBNK-EQ
NSE:AUROPHARMA-EQ
NSE:PETRONET-EQ
NSE:MPHASIS-EQ
NSE:TRITURBINE-EQ
NSE:CERA-EQ
NSE:ANGELONE-EQ
NSE:PERSISTENT-EQ
NSE:VTL-EQ
NSE:RAMCOCEM-EQ
NSE:ASTRAL-EQ
NSE:BALAMINES-EQ
NSE:TV18BRDCST-EQ
NSE:SOLARA-EQ
NSE:HGS-EQ
NSE:GUJALKALI-EQ
NSE:LTTS-EQ
NSE:MAHINDCIE-EQ
NSE:IIFLWAM-EQ
NSE:BLUESTARCO-EQ
NSE:MOIL-EQ
NSE:ORIENTELEC-EQ
NSE:SUDARSCHEM-EQ
NSE:GSPL-EQ
NSE:SUNTECK-EQ
NSE:IBREALEST-EQ
NSE:ICIL-EQ
NSE:DCMSHRIRAM-EQ
NSE:TTML-EQ
NSE:EMAMILTD-EQ
NSE:SFL-EQ
NSE:CHAMBLFERT-EQ
NSE:EQUITAS-EQ
NSE:HONAUT-EQ
NSE:HLEGLAS-EQ
NSE:GNFC-EQ
NSE:HATSUN-EQ
NSE:TATAMOTORS-EQ
NSE:SUNPHARMA-EQ
NSE:M&M-EQ
NSE:HINDUNILVR-EQ
NSE:TITAN-EQ
NSE:UPL-EQ
NSE:ITC-EQ
NSE:HEROMOTOCO-EQ
NSE:BRITANNIA-EQ
NSE:BAJAJ-AUTO-EQ
NSE:EICHERMOT-EQ
NSE:RELIANCE-EQ
NSE:CIPLA-EQ
NSE:DIVISLAB-EQ
NSE:COALINDIA-EQ
NSE:DRREDDY-EQ
NSE:NESTLEIND-EQ
NSE:ASIANPAINT-EQ
NSE:KOTAKBANK-EQ
NSE:LT-EQ
NSE:HDFCLIFE-EQ
NSE:POWERGRID-EQ
NSE:INDUSINDBK-EQ
NSE:ULTRACEMCO-EQ
NSE:TCS-EQ
NSE:TATACONSUM-EQ
NSE:INFY-EQ
NSE:SHREECEM-EQ
NSE:HDFCBANK-EQ
NSE:HDFC-EQ
NSE:APOLLOHOSP-EQ
NSE:HCLTECH-EQ
NSE:TECHM-EQ
NSE:ADANIPORTS-EQ
NSE:WIPRO-EQ
NSE:BPCL-EQ
NSE:GRASIM-EQ
NSE:BAJFINANCE-EQ
NSE:ONGC-EQ
NSE:MARUTI-EQ
NSE:SBILIFE-EQ
NSE:TATASTEEL-EQ
NSE:BAJAJFINSV-EQ
NSE:AXISBANK-EQ
NSE:NTPC-EQ
NSE:BHARTIARTL-EQ
NSE:ICICIBANK-EQ
NSE:JSWSTEEL-EQ
NSE:SBIN-EQ
NSE:HINDALCO-EQ
